type,entry_time,entry_price,exit_time,exit_price,pnl_pct,exit_reason
buy,2025-07-04 19:00:00,9.5775e-06,2025-07-04 19:24:00,9.548767499999999e-06,-0.3000000000000087,SL
sell,2025-07-04 23:41:00,9.62e-06,2025-07-04 23:48:00,9.648859999999999e-06,-0.2999999999999957,SL
sell,2025-07-05 08:35:00,9.81e-06,2025-07-05 09:48:00,9.839429999999998e-06,-0.29999999999998783,SL
sell,2025-07-05 10:36:00,9.8075e-06,2025-07-05 16:37:00,9.61135e-06,1.999999999999998,TP
buy,2025-07-05 13:26:00,9.744999999999999e-06,2025-07-05 13:30:00,9.715764999999999e-06,-0.3000000000000042,SL
buy,2025-07-05 17:43:00,9.675e-06,2025-07-05 17:47:00,9.645975e-06,-0.29999999999999244,SL
sell,2025-07-05 20:27:00,9.6e-06,2025-07-05 20:32:00,9.628799999999998e-06,-0.2999999999999873,SL
buy,2025-07-06 00:20:00,9.707500000000002e-06,2025-07-06 00:31:00,9.678377500000002e-06,-0.2999999999999929,SL
buy,2025-07-06 04:07:00,9.655e-06,2025-07-06 04:18:00,9.626035e-06,-0.3000000000000016,SL
sell,2025-07-06 10:00:00,9.659999999999999e-06,2025-07-06 10:03:00,9.688979999999999e-06,-0.29999999999999494,SL
sell,2025-07-06 17:21:00,1.001e-05,2025-07-06 17:45:00,1.0040029999999999e-05,-0.2999999999999842,SL
sell,2025-07-06 17:52:00,1.00375e-05,2025-07-06 20:45:00,1.0067612499999999e-05,-0.29999999999999116,SL
sell,2025-07-06 23:02:00,1.0095e-05,2025-07-06 23:03:00,1.0125285e-05,-0.2999999999999932,SL
buy,2025-07-07 06:19:00,1.0160000000000001e-05,2025-07-07 06:39:00,1.0129520000000002e-05,-0.29999999999999416,SL
buy,2025-07-07 13:26:00,1.0025e-05,2025-07-07 13:34:00,9.994925e-06,-0.29999999999999877,SL
sell,2025-07-07 15:39:00,9.925e-06,2025-07-07 16:06:00,9.954775e-06,-0.2999999999999921,SL
buy,2025-07-07 19:51:00,1.0015e-05,2025-07-07 19:53:00,9.984955e-06,-0.29999999999999477,SL
sell,2025-07-08 14:11:00,1.0005e-05,2025-07-08 14:12:00,1.0035014999999999e-05,-0.29999999999999066,SL
buy,2025-07-08 16:25:00,1.0039999999999999e-05,2025-07-08 16:33:00,1.0009879999999999e-05,-0.2999999999999964,SL
buy,2025-07-08 21:32:00,1.0185e-05,2025-07-08 21:35:00,1.0154445e-05,-0.2999999999999958,SL
buy,2025-07-08 22:00:00,1.02e-05,2025-07-08 22:05:00,1.0169400000000001e-05,-0.29999999999999344,SL
sell,2025-07-09 05:30:00,1.00675e-05,2025-07-09 05:34:00,1.0097702499999998e-05,-0.29999999999998644,SL
sell,2025-07-09 11:53:00,1.024e-05,2025-07-09 12:10:00,1.027072e-05,-0.2999999999999928,SL
sell,2025-07-09 13:58:00,1.0350000000000001e-05,2025-07-09 16:34:00,1.038105e-05,-0.29999999999998667,SL
buy,2025-07-09 16:12:00,1.034e-05,2025-07-09 16:16:00,1.030898e-05,-0.2999999999999992,SL
sell,2025-07-10 04:26:00,1.1030000000000001e-05,2025-07-10 04:32:00,1.106309e-05,-0.2999999999999912,SL
