type,entry_time,entry_price,exit_time,exit_price,pnl_pct,exit_reason
sell,2025-07-04 19:24:00,1.6479999999999998e-05,2025-07-04 19:33:00,1.6529439999999997e-05,-0.2999999999999958,SL
sell,2025-07-05 04:09:00,1.751e-05,2025-07-05 04:28:00,1.759e-05,-0.45688178183894473,SL
buy,2025-07-05 18:04:00,1.8154999999999998e-05,2025-07-05 18:18:00,1.8100535e-05,-0.2999999999999916,SL
sell,2025-07-07 02:57:00,2.2315e-05,2025-07-07 03:05:00,2.243e-05,-0.5153484203450659,SL
sell,2025-07-09 00:02:00,2.1885e-05,2025-07-09 00:09:00,2.1950655e-05,-0.2999999999999936,SL
sell,2025-07-09 02:21:00,2.2095e-05,2025-07-09 02:22:00,2.2161285e-05,-0.2999999999999938,SL
buy,2025-07-09 03:04:00,2.21375e-05,2025-07-09 03:51:00,2.20710875e-05,-0.30000000000000354,SL
sell,2025-07-09 03:44:00,2.211e-05,2025-07-09 03:53:00,2.217633e-05,-0.2999999999999928,SL
buy,2025-07-09 05:36:00,2.213e-05,2025-07-09 05:43:00,2.201e-05,-0.5422503389064567,SL
sell,2025-07-09 13:52:00,2.1269999999999998e-05,2025-07-09 14:06:00,2.0844599999999997e-05,2.0000000000000053,TP
buy,2025-07-11 02:12:00,2.364e-05,2025-07-11 02:44:00,2.41128e-05,1.9999999999999998,TP
sell,2025-07-13 14:22:00,2.5055e-05,2025-07-13 14:23:00,2.5130164999999996e-05,-0.2999999999999857,SL
buy,2025-07-13 15:08:00,2.5105e-05,2025-07-13 15:26:00,2.56071e-05,1.9999999999999993,TP
sell,2025-07-13 16:32:00,2.5325e-05,2025-07-13 16:36:00,2.5465e-05,-0.5528134254689123,SL
sell,2025-07-15 01:14:00,2.717e-05,2025-07-15 01:15:00,2.7251509999999996e-05,-0.29999999999998694,SL
buy,2025-07-16 08:15:00,3.1275e-05,2025-07-16 08:33:00,3.1900500000000004e-05,2.000000000000009,TP
sell,2025-07-17 15:42:00,3.66975e-05,2025-07-17 15:46:00,3.596355e-05,2.0,TP
buy,2025-07-17 20:35:00,3.497e-05,2025-07-17 20:36:00,3.48625e-05,-0.30740634829853747,SL
sell,2025-07-18 22:48:00,3.26125e-05,2025-07-19 00:07:00,3.27103375e-05,-0.29999999999999033,SL
buy,2025-07-19 00:05:00,3.2565e-05,2025-07-19 00:35:00,3.2467305e-05,-0.29999999999999094,SL
buy,2025-07-19 01:21:00,3.2500000000000004e-05,2025-07-19 02:41:00,3.3150000000000006e-05,2.0000000000000067,TP
buy,2025-07-19 10:29:00,3.3744999999999996e-05,2025-07-19 10:50:00,3.44199e-05,2.000000000000008,TP
